nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,10,100,12588,sub7,pub5,1319472804868,1319472808081,23,3213,364,3600
1,1,10,10,100,12588,sub9,pub7,1319472805540,1319472808102,21,2562,384,2967
1,1,10,10,100,12588,sub2,pub8,1319472805957,1319472808145,17,2188,384,2589
1,1,10,10,100,12588,sub5,pub7,1319472805540,1319472808186,21,2646,384,3051
1,1,10,10,100,12588,sub4,pub8,1319472805957,1319472808216,17,2259,397,2673
1,1,10,10,100,12588,sub1,pub8,1319472805957,1319472808241,17,2284,413,2714
1,1,10,10,100,12588,sub6,pub7,1319472805540,1319472808273,21,2733,423,3177
1,1,10,10,100,12588,sub8,pub7,1319472805540,1319472808318,21,2778,419,3218
1,1,10,10,100,12588,sub3,pub8,1319472805957,1319472808362,17,2405,419,2841
1,1,10,10,100,12588,sub10,pub8,1319472805957,1319472808406,17,2449,417,2883
1,1,10,10,100,12588,sub7,pub6,1319472805221,1319472808475,22,3254,391,3667
1,1,10,10,100,12588,sub9,pub8,1319472805957,1319472808490,17,2533,438,2988
1,1,10,10,100,12588,sub2,pub9,1319472806279,1319472808554,19,2275,399,2693
1,1,10,10,100,12588,sub5,pub8,1319472805957,1319472808574,17,2617,421,3055
1,1,10,10,100,12588,sub4,pub9,1319472806279,1319472808617,19,2338,421,2778
1,1,10,10,100,12588,sub1,pub9,1319472806279,1319472808658,19,2379,424,2822
1,1,10,10,100,12588,sub6,pub8,1319472805957,1319472808701,17,2744,421,3182
1,1,10,10,100,12588,sub8,pub8,1319472805957,1319472808742,17,2785,424,3226
1,1,10,10,100,12588,sub3,pub9,1319472806279,1319472808785,19,2506,421,2946
1,1,10,10,100,12588,sub7,pub7,1319472805540,1319472808869,21,3329,380,3730
1,1,10,10,100,12588,sub10,pub9,1319472806279,1319472808898,19,2619,393,3031
1,1,10,10,100,12588,sub9,pub9,1319472806279,1319472808937,19,2658,397,3074
1,1,10,10,100,12589,sub2,pub10,1319472806559,1319472808957,14,2398,417,2829
1,1,10,10,100,12588,sub5,pub9,1319472806279,1319472809001,19,2722,424,3165
1,1,10,10,100,12589,sub4,pub10,1319472806559,1319472809042,14,2483,432,2929
1,1,10,10,100,12589,sub1,pub10,1319472806559,1319472809085,14,2526,428,2968
1,1,10,10,100,12588,sub6,pub9,1319472806279,1319472809126,19,2847,428,3294
1,1,10,10,100,12588,sub8,pub9,1319472806279,1319472809169,19,2890,429,3338
1,1,10,10,100,12589,sub3,pub10,1319472806559,1319472809210,14,2651,432,3097
1,1,10,10,100,12588,sub7,pub8,1319472805957,1319472809253,17,3296,429,3742
1,1,10,10,100,12589,sub10,pub10,1319472806559,1319472809294,14,2735,432,3181
1,1,10,10,100,12589,sub9,pub10,1319472806559,1319472809337,14,2778,429,3221
1,1,10,10,100,12589,sub5,pub10,1319472806559,1319472809429,14,2870,380,3264
1,1,10,10,100,12589,sub6,pub10,1319472806559,1319472809557,14,2998,292,3304
1,1,10,10,100,12589,sub8,pub10,1319472806559,1319472809601,14,3042,288,3344
1,1,10,10,100,12588,sub7,pub9,1319472806279,1319472809686,19,3407,244,3670
1,1,10,10,100,12589,sub7,pub10,1319472806559,1319472809933,14,3374,44,3432
