nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
10,1,10,10,100,12589,sub6,pub1,1319476708760,1319476708834,14,74,44,132
10,1,10,10,100,12589,sub3,pub1,1319476708760,1319476708848,14,88,78,180
10,1,10,10,100,12589,sub7,pub1,1319476708760,1319476708911,14,151,58,223
10,1,10,10,100,12589,sub5,pub1,1319476708760,1319476708924,14,164,86,264
10,1,10,10,100,12589,sub10,pub2,1319476708805,1319476708936,17,131,117,265
10,1,10,10,100,12589,sub1,pub1,1319476708760,1319476708963,14,203,135,352
10,1,10,10,100,12589,sub8,pub1,1319476708760,1319476708968,14,208,174,396
10,1,10,10,100,12589,sub9,pub1,1319476708760,1319476709008,14,248,179,441
10,1,10,10,100,12589,sub3,pub2,1319476708805,1319476709017,17,212,214,443
10,1,10,10,100,12589,sub6,pub2,1319476708805,1319476709054,17,249,220,486
10,1,10,10,100,12589,sub10,pub1,1319476708760,1319476709057,14,297,260,571
10,1,10,10,100,12589,sub2,pub3,1319476708914,1319476709076,14,162,282,458
10,1,10,10,100,12589,sub4,pub1,1319476708760,1319476709121,14,361,280,655
10,1,10,10,100,12589,sub7,pub3,1319476708914,1319476709124,14,210,318,542
10,1,10,10,100,12589,sub1,pub3,1319476708914,1319476709129,14,215,353,582
10,1,10,10,100,12589,sub5,pub2,1319476708805,1319476709139,17,334,388,739
10,1,10,10,100,12589,sub8,pub2,1319476708805,1319476709145,17,340,424,781
10,1,10,10,100,12589,sub9,pub2,1319476708805,1319476709190,17,385,421,823
10,1,10,10,100,12589,sub3,pub4,1319476709032,1319476709234,17,202,420,639
10,1,10,10,100,12589,sub10,pub6,1319476709221,1319476709321,24,100,376,500
10,1,10,10,100,12589,sub2,pub1,1319476708760,1319476709361,14,601,377,992
10,1,10,10,100,12589,sub6,pub3,1319476708914,1319476709398,14,484,383,881
10,1,10,10,100,12589,sub7,pub6,1319476709221,1319476709445,24,224,377,625
10,1,10,10,100,12589,sub4,pub2,1319476708805,1319476709478,17,673,389,1079
10,1,10,10,100,12589,sub1,pub2,1319476708805,1319476709486,17,681,421,1119
10,1,10,10,100,12589,sub5,pub4,1319476709032,1319476709530,17,498,421,936
10,1,10,10,100,12589,sub8,pub3,1319476708914,1319476709573,14,659,420,1093
10,1,10,10,100,12589,sub3,pub5,1319476709178,1319476709657,18,479,379,876
10,1,10,10,100,12589,sub9,pub8,1319476709430,1319476709661,14,231,417,662
10,1,10,10,100,12589,sub10,pub3,1319476708914,1319476709701,14,787,420,1221
10,1,10,10,100,12589,sub2,pub2,1319476708805,1319476709742,17,937,421,1375
10,1,10,10,100,12589,sub6,pub5,1319476709178,1319476709785,18,607,420,1045
10,1,10,10,100,12589,sub7,pub2,1319476708805,1319476709826,17,1021,421,1459
10,1,10,10,100,12589,sub4,pub3,1319476708914,1319476709870,14,956,420,1390
10,1,10,10,100,12589,sub1,pub6,1319476709221,1319476709913,24,692,417,1133
10,1,10,10,100,12589,sub5,pub8,1319476709430,1319476709955,14,525,418,957
10,1,10,10,100,12589,sub8,pub4,1319476709032,1319476709997,17,965,421,1403
10,1,10,10,100,12589,sub3,pub3,1319476708914,1319476710041,14,1127,418,1559
10,1,10,10,100,12589,sub9,pub4,1319476709032,1319476710082,17,1050,432,1499
10,1,10,10,100,12589,sub10,pub4,1319476709032,1319476710125,17,1093,432,1542
10,1,10,10,100,12589,sub2,pub4,1319476709032,1319476710166,17,1134,433,1584
10,1,10,10,100,12589,sub6,pub6,1319476709221,1319476710209,24,988,433,1445
10,1,10,10,100,12589,sub7,pub8,1319476709430,1319476710250,14,820,437,1271
10,1,10,10,100,12589,sub4,pub4,1319476709032,1319476710293,17,1261,440,1718
10,1,10,10,100,12590,sub1,pub10,1319476709683,1319476710334,14,651,443,1108
10,1,10,10,100,12589,sub5,pub3,1319476708914,1319476710378,14,1464,441,1919
