nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,10,1000,124086,sub8,pub1,1319472818149,1319472820714,18,2565,90,2673
1,1,10,10,1000,124086,sub2,pub1,1319472818149,1319472820958,18,2809,87,2914
1,1,10,10,1000,124086,sub7,pub1,1319472818149,1319472821557,18,3408,87,3513
1,1,10,10,1000,124086,sub7,pub2,1319472818501,1319472822620,13,4119,85,4217
1,1,10,10,1000,124086,sub1,pub2,1319472818501,1319472822779,13,4278,87,4378
1,1,10,10,1000,124086,sub6,pub1,1319472818149,1319472823075,18,4926,89,5033
1,1,10,10,1000,124086,sub8,pub2,1319472818501,1319472823274,13,4773,91,4877
1,1,10,10,1000,124086,sub1,pub1,1319472818149,1319472824357,18,6208,88,6314
1,1,10,10,1000,124086,sub3,pub2,1319472818501,1319472824917,13,6416,88,6517
1,1,10,10,1000,124086,sub4,pub2,1319472818501,1319472825096,13,6595,85,6693
1,1,10,10,1000,124086,sub2,pub2,1319472818501,1319472825633,13,7132,98,7243
1,1,10,10,1000,124086,sub5,pub2,1319472818501,1319472825676,13,7175,161,7349
1,1,10,10,1000,124086,sub6,pub2,1319472818501,1319472825840,13,7339,88,7440
1,1,10,10,1000,124086,sub10,pub1,1319472818149,1319472826318,18,8169,88,8275
1,1,10,10,1000,124086,sub7,pub3,1319472819031,1319472826433,16,7402,89,7507
1,1,10,10,1000,124086,sub9,pub1,1319472818149,1319472826699,18,8550,90,8658
1,1,10,10,1000,124086,sub8,pub3,1319472819031,1319472827173,16,8142,87,8245
1,1,10,10,1000,124086,sub4,pub1,1319472818149,1319472827298,18,9149,88,9255
1,1,10,10,1000,124086,sub6,pub3,1319472819031,1319472827394,16,8363,95,8474
1,1,10,10,1000,124086,sub2,pub3,1319472819031,1319472827432,16,8401,144,8561
1,1,10,10,1000,124086,sub3,pub1,1319472818149,1319472827753,18,9604,88,9710
1,1,10,10,1000,124086,sub1,pub3,1319472819031,1319472827833,16,8802,100,8918
1,1,10,10,1000,124086,sub5,pub1,1319472818149,1319472827877,18,9728,138,9884
1,1,10,10,1000,124086,sub10,pub2,1319472818501,1319472828114,13,9613,87,9713
1,1,10,10,1000,124086,sub9,pub2,1319472818501,1319472828678,13,10177,86,10276
1,1,10,10,1000,124086,sub4,pub3,1319472819031,1319472829211,16,10180,86,10282
1,1,10,10,1000,124086,sub3,pub3,1319472819031,1319472829599,16,10568,94,10678
1,1,10,10,1000,124086,sub10,pub3,1319472819031,1319472829936,16,10905,85,11006
1,1,10,10,1000,124086,sub5,pub3,1319472819031,1319472830162,16,11131,88,11235
1,1,10,10,1000,124086,sub1,pub4,1319472821271,1319472830338,17,9067,89,9173
1,1,10,10,1000,124086,sub8,pub4,1319472821271,1319472830396,17,9125,115,9257
1,1,10,10,1000,124086,sub9,pub3,1319472819031,1319472830902,16,11871,90,11977
1,1,10,10,1000,124086,sub4,pub4,1319472821271,1319472831046,17,9775,90,9882
1,1,10,10,1000,124086,sub3,pub4,1319472821271,1319472831145,17,9874,90,9981
1,1,10,10,1000,124086,sub7,pub4,1319472821271,1319472831306,17,10035,99,10151
