nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,10,10,1431,sub8,pub1,1319472792972,1319472794677,17,1705,42,1764
1,1,10,10,10,1431,sub1,pub2,1319472792993,1319472794702,13,1709,56,1778
1,1,10,10,10,1431,sub2,pub1,1319472792972,1319472794709,17,1737,90,1844
1,1,10,10,10,1431,sub7,pub2,1319472792993,1319472794711,13,1718,128,1859
1,1,10,10,10,1431,sub8,pub2,1319472792993,1319472794721,13,1728,157,1898
1,1,10,10,10,1431,sub3,pub4,1319472793036,1319472794728,16,1692,191,1899
1,1,10,10,10,1431,sub5,pub4,1319472793036,1319472794732,16,1696,227,1939
1,1,10,10,10,1431,sub9,pub5,1319472793056,1319472794754,12,1698,245,1955
1,1,10,10,10,1431,sub1,pub6,1319472793076,1319472794773,13,1697,266,1976
1,1,10,10,10,1431,sub7,pub1,1319472792972,1319472794840,17,1868,238,2123
1,1,10,10,10,1431,sub4,pub3,1319472793013,1319472794843,12,1830,275,2117
1,1,10,10,10,1431,sub10,pub1,1319472792972,1319472794847,17,1875,311,2203
1,1,10,10,10,1431,sub6,pub3,1319472793013,1319472794855,12,1842,344,2198
1,1,10,10,10,1431,sub2,pub8,1319472793135,1319472794860,19,1725,379,2123
1,1,10,10,10,1431,sub8,pub4,1319472793036,1319472794880,16,1844,398,2258
1,1,10,10,10,1431,sub3,pub2,1319472792993,1319472794921,13,1928,398,2339
1,1,10,10,10,1431,sub5,pub5,1319472793056,1319472794960,12,1904,398,2314
1,1,10,10,10,1431,sub9,pub7,1319472793104,1319472795001,16,1897,398,2311
1,1,10,10,10,1431,sub1,pub5,1319472793056,1319472795041,12,1985,398,2395
1,1,10,10,10,1431,sub7,pub3,1319472793013,1319472795080,12,2067,398,2477
1,1,10,10,10,1431,sub4,pub7,1319472793104,1319472795120,16,2016,398,2430
1,1,10,10,10,1431,sub10,pub6,1319472793076,1319472795160,13,2084,398,2495
1,1,10,10,10,1431,sub6,pub9,1319472793153,1319472795201,12,2048,398,2458
1,1,10,10,10,1431,sub2,pub6,1319472793076,1319472795240,13,2164,398,2575
1,1,10,10,10,1431,sub8,pub6,1319472793076,1319472795280,13,2204,398,2615
1,1,10,10,10,1431,sub3,pub7,1319472793104,1319472795320,16,2216,398,2630
1,1,10,10,10,1431,sub5,pub3,1319472793013,1319472795360,12,2347,398,2757
1,1,10,10,10,1431,sub9,pub6,1319472793076,1319472795400,13,2324,398,2735
1,1,10,10,10,1431,sub1,pub4,1319472793036,1319472795440,16,2404,397,2817
1,1,10,10,10,1431,sub7,pub7,1319472793104,1319472795481,16,2377,398,2791
1,1,10,10,10,1431,sub4,pub2,1319472792993,1319472795521,13,2528,398,2939
1,1,10,10,10,1431,sub10,pub3,1319472793013,1319472795560,12,2547,398,2957
1,1,10,10,10,1432,sub6,pub10,1319472793178,1319472795601,12,2423,398,2833
1,1,10,10,10,1431,sub2,pub7,1319472793104,1319472795640,16,2536,398,2950
1,1,10,10,10,1431,sub8,pub3,1319472793013,1319472795680,12,2667,398,3077
1,1,10,10,10,1431,sub3,pub3,1319472793013,1319472795720,12,2707,398,3117
1,1,10,10,10,1431,sub5,pub8,1319472793135,1319472795760,19,2625,398,3042
1,1,10,10,10,1431,sub9,pub2,1319472792993,1319472795800,13,2807,398,3218
1,1,10,10,10,1431,sub1,pub9,1319472793153,1319472795840,12,2687,399,3098
1,1,10,10,10,1431,sub7,pub9,1319472793153,1319472795880,12,2727,398,3137
1,1,10,10,10,1431,sub4,pub4,1319472793036,1319472795920,16,2884,398,3298
1,1,10,10,10,1431,sub10,pub4,1319472793036,1319472795961,16,2925,398,3339
1,1,10,10,10,1431,sub6,pub1,1319472792972,1319472796001,17,3029,398,3444
1,1,10,10,10,1431,sub2,pub2,1319472792993,1319472796040,13,3047,398,3458
1,1,10,10,10,1432,sub8,pub10,1319472793178,1319472796080,12,2902,398,3312
1,1,10,10,10,1431,sub3,pub1,1319472792972,1319472796120,17,3148,398,3563
1,1,10,10,10,1431,sub5,pub2,1319472792993,1319472796160,13,3167,398,3578
1,1,10,10,10,1431,sub9,pub3,1319472793013,1319472796200,12,3187,398,3597
1,1,10,10,10,1431,sub1,pub7,1319472793104,1319472796240,16,3136,397,3549
1,1,10,10,10,1431,sub7,pub6,1319472793076,1319472796280,13,3204,398,3615
1,1,10,10,10,1431,sub4,pub5,1319472793056,1319472796320,12,3264,398,3674
1,1,10,10,10,1431,sub10,pub8,1319472793135,1319472796360,19,3225,402,3646
1,1,10,10,10,1431,sub6,pub2,1319472792993,1319472796401,13,3408,402,3823
1,1,10,10,10,1431,sub2,pub3,1319472793013,1319472796440,12,3427,402,3841
1,1,10,10,10,1431,sub8,pub9,1319472793153,1319472796481,12,3328,402,3742
1,1,10,10,10,1432,sub3,pub10,1319472793178,1319472796520,12,3342,402,3756
1,1,10,10,10,1431,sub5,pub1,1319472792972,1319472796560,17,3588,402,4007
1,1,10,10,10,1431,sub9,pub1,1319472792972,1319472796601,17,3629,402,4048
1,1,10,10,10,1431,sub1,pub1,1319472792972,1319472796640,17,3668,402,4087
1,1,10,10,10,1431,sub7,pub8,1319472793135,1319472796681,19,3546,402,3967
1,1,10,10,10,1431,sub4,pub9,1319472793153,1319472796721,12,3568,401,3981
1,1,10,10,10,1431,sub10,pub9,1319472793153,1319472796765,12,3612,398,4022
1,1,10,10,10,1431,sub6,pub6,1319472793076,1319472796804,13,3728,398,4139
1,1,10,10,10,1431,sub2,pub5,1319472793056,1319472796844,12,3788,398,4198
1,1,10,10,10,1431,sub8,pub7,1319472793104,1319472796884,16,3780,398,4194
1,1,10,10,10,1431,sub3,pub5,1319472793056,1319472796924,12,3868,399,4279
1,1,10,10,10,1431,sub5,pub7,1319472793104,1319472796964,16,3860,397,4273
1,1,10,10,10,1432,sub9,pub10,1319472793178,1319472797004,12,3826,398,4236
1,1,10,10,10,1431,sub1,pub3,1319472793013,1319472797044,12,4031,398,4441
