nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,1,1000,124085,sub8,pub1,1319472714340,1319472717224,16,2884,138,3038
1,1,10,1,1000,124085,sub2,pub1,1319472714340,1319472717242,16,2902,168,3086
1,1,10,1,1000,124085,sub7,pub1,1319472714340,1319472717426,16,3086,105,3207
1,1,10,1,1000,124085,sub10,pub1,1319472714340,1319472717942,16,3602,88,3706
1,1,10,1,1000,124085,sub3,pub1,1319472714340,1319472718440,16,4100,89,4205
1,1,10,1,1000,124085,sub6,pub1,1319472714340,1319472718923,16,4583,89,4688
1,1,10,1,1000,124085,sub1,pub1,1319472714340,1319472719058,16,4718,85,4819
1,1,10,1,1000,124085,sub5,pub1,1319472714340,1319472719325,16,4985,89,5090
1,1,10,1,1000,124085,sub4,pub1,1319472714340,1319472719461,16,5121,92,5229
1,1,10,1,1000,124085,sub9,pub1,1319472714340,1319472719460,16,5120,171,5307
