nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,500,1,10,1431,sub198,pub1,27,15,44,86
1,1,500,1,10,1431,sub424,pub1,27,30,70,127
1,1,500,1,10,1431,sub420,pub1,27,37,104,168
1,1,500,1,10,1431,sub448,pub1,27,51,129,207
1,1,500,1,10,1431,sub450,pub1,27,58,162,247
1,1,500,1,10,1431,sub264,pub1,27,66,194,287
1,1,500,1,10,1431,sub426,pub1,27,79,222,328
1,1,500,1,10,1431,sub467,pub1,27,96,245,368
1,1,500,1,10,1431,sub180,pub1,27,104,280,411
1,1,500,1,10,1431,sub85,pub1,27,117,304,448
1,1,500,1,10,1431,sub265,pub1,27,126,334,487
1,1,500,1,10,1431,sub181,pub1,27,128,373,528
1,1,500,1,10,1431,sub422,pub1,27,130,411,568
1,1,500,1,10,1431,sub322,pub1,27,136,444,607
1,1,500,1,10,1431,sub459,pub1,27,140,481,648
1,1,500,1,10,1431,sub343,pub1,27,141,520,688
1,1,500,1,10,1431,sub487,pub1,27,143,558,728
1,1,500,1,10,1431,sub25,pub1,27,144,597,768
1,1,500,1,10,1431,sub158,pub1,27,147,634,808
1,1,500,1,10,1431,sub182,pub1,27,153,668,848
1,1,500,1,10,1431,sub282,pub1,27,273,1771,2071
1,1,500,1,10,1431,sub445,pub1,27,268,1784,2079
1,1,500,1,10,1431,sub82,pub1,27,265,1794,2086
1,1,500,1,10,1431,sub381,pub1,27,263,1802,2092
1,1,500,1,10,1431,sub461,pub1,27,257,1819,2103
1,1,500,1,10,1431,sub173,pub1,27,276,1803,2106
1,1,500,1,10,1431,sub124,pub1,27,255,1830,2112
1,1,500,1,10,1431,sub412,pub1,27,253,1834,2114
1,1,500,1,10,1431,sub207,pub1,27,248,1840,2115
1,1,500,1,10,1431,sub161,pub1,27,247,1843,2117
1,1,500,1,10,1431,sub278,pub1,27,243,1850,2120
1,1,500,1,10,1431,sub433,pub1,27,239,1857,2123
1,1,500,1,10,1431,sub298,pub1,27,236,1863,2126
1,1,500,1,10,1431,sub354,pub1,27,211,1894,2132
1,1,500,1,10,1431,sub303,pub1,27,210,1899,2136
1,1,500,1,10,1431,sub227,pub1,27,209,1906,2142
1,1,500,1,10,1431,sub46,pub1,27,208,1909,2144
1,1,500,1,10,1431,sub178,pub1,27,207,1911,2145
1,1,500,1,10,1431,sub443,pub1,27,206,1914,2147
1,1,500,1,10,1431,sub77,pub1,27,204,1925,2156
1,1,500,1,10,1431,sub228,pub1,27,190,1942,2159
1,1,500,1,10,1431,sub212,pub1,27,186,1949,2162
1,1,500,1,10,1431,sub119,pub1,27,277,1860,2164
1,1,500,1,10,1431,sub337,pub1,27,185,1957,2169
1,1,500,1,10,1431,sub176,pub1,27,182,1997,2206
1,1,500,1,10,1431,sub52,pub1,27,179,2010,2216
1,1,500,1,10,1431,sub425,pub1,27,176,2022,2225
1,1,500,1,10,1431,sub460,pub1,27,174,2038,2239
1,1,500,1,10,1431,sub419,pub1,27,281,1938,2246
1,1,500,1,10,1431,sub69,pub1,27,169,2053,2249
1,1,500,1,10,1431,sub465,pub1,27,166,2060,2253
1,1,500,1,10,1431,sub89,pub1,27,166,2071,2264
1,1,500,1,10,1431,sub432,pub1,27,155,2099,2281
1,1,500,1,10,1431,sub244,pub1,27,279,1989,2295
1,1,500,1,10,1431,sub320,pub1,27,283,1987,2297
1,1,500,1,10,1431,sub255,pub1,27,284,2024,2335
1,1,500,1,10,1431,sub125,pub1,27,286,2063,2376
1,1,500,1,10,1431,sub222,pub1,27,288,2101,2416
1,1,500,1,10,1431,sub90,pub1,27,299,2130,2456
1,1,500,1,10,1431,sub171,pub1,27,300,2170,2497
1,1,500,1,10,1431,sub12,pub1,27,303,2209,2539
1,1,500,1,10,1431,sub406,pub1,27,296,2255,2578
1,1,500,1,10,1431,sub73,pub1,27,304,2287,2618
1,1,500,1,10,1431,sub126,pub1,27,306,2327,2660
1,1,500,1,10,1431,sub350,pub1,27,307,2365,2699
1,1,500,1,10,1431,sub317,pub1,27,310,2401,2738
