nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,10,10,1000,124087,sub5,pub1,171,886,116,1173
1,1,10,10,1000,124087,sub9,pub1,171,1514,89,1774
1,1,10,10,1000,124087,sub4,pub1,171,1679,96,1946
1,1,10,10,1000,124087,sub3,pub1,171,1712,140,2023
1,1,10,10,1000,124087,sub6,pub1,171,1926,86,2183
1,1,10,10,1000,124087,sub10,pub1,171,2194,87,2452
1,1,10,10,1000,124087,sub8,pub1,171,2615,86,2872
1,1,10,10,1000,124087,sub1,pub1,171,2680,102,2953
1,1,10,10,1000,124087,sub2,pub1,171,2789,97,3057
1,1,10,10,1000,124087,sub7,pub1,171,2810,166,3147
1,1,10,10,1000,124086,sub4,pub2,13,907,100,1020
1,1,10,10,1000,124086,sub6,pub2,13,920,165,1098
1,1,10,10,1000,124086,sub10,pub2,13,1011,186,1210
1,1,10,10,1000,124086,sub1,pub2,13,1103,177,1293
1,1,10,10,1000,124086,sub2,pub2,13,1147,222,1382
1,1,10,10,1000,124086,sub5,pub2,13,1202,262,1477
1,1,10,10,1000,124086,sub8,pub2,13,1420,116,1549
1,1,10,10,1000,124086,sub7,pub2,13,1516,111,1640
1,1,10,10,1000,124086,sub9,pub2,13,1606,104,1723
1,1,10,10,1000,124086,sub3,pub2,13,1949,84,2046
1,1,10,10,1000,124086,sub10,pub3,22,464,84,570
1,1,10,10,1000,124086,sub8,pub3,22,804,96,922
1,1,10,10,1000,124086,sub2,pub3,22,1009,96,1127
1,1,10,10,1000,124086,sub9,pub3,22,1004,181,1207
1,1,10,10,1000,124086,sub3,pub3,22,1116,162,1300
1,1,10,10,1000,124086,sub4,pub3,22,1304,87,1413
1,1,10,10,1000,124086,sub6,pub3,22,1707,88,1817
1,1,10,10,1000,124086,sub1,pub3,22,1871,84,1977
1,1,10,10,1000,124086,sub7,pub3,22,2190,91,2303
1,1,10,10,1000,124086,sub5,pub3,22,2275,91,2388
1,1,10,10,1000,124086,sub9,pub4,18,1252,90,1360
1,1,10,10,1000,124086,sub6,pub4,18,1331,91,1440
1,1,10,10,1000,124086,sub4,pub4,18,2086,89,2193
1,1,10,10,1000,124086,sub1,pub4,18,2308,95,2421
1,1,10,10,1000,124086,sub3,pub4,18,2347,147,2512
1,1,10,10,1000,124086,sub10,pub4,18,2398,205,2621
1,1,10,10,1000,124086,sub2,pub4,18,2486,202,2706
1,1,10,10,1000,124086,sub5,pub4,18,2495,273,2786
1,1,10,10,1000,124086,sub7,pub4,18,2535,313,2866
1,1,10,10,1000,124086,sub8,pub4,18,2620,313,2951
1,1,10,10,1000,124086,sub5,pub5,19,535,89,643
1,1,10,10,1000,124086,sub7,pub5,19,649,87,755
1,1,10,10,1000,124086,sub8,pub5,19,779,84,882
1,1,10,10,1000,124086,sub2,pub5,19,1564,89,1672
1,1,10,10,1000,124086,sub9,pub5,19,2066,90,2175
1,1,10,10,1000,124086,sub6,pub5,19,2137,102,2258
1,1,10,10,1000,124086,sub4,pub5,19,2178,147,2344
1,1,10,10,1000,124086,sub10,pub5,19,2214,203,2436
1,1,10,10,1000,124086,sub3,pub5,19,2354,145,2518
1,1,10,10,1000,124086,sub1,pub5,19,2399,177,2595
1,1,10,10,1000,124086,sub4,pub6,20,342,90,452
1,1,10,10,1000,124086,sub1,pub6,20,485,88,593
1,1,10,10,1000,124086,sub7,pub6,20,684,81,785
1,1,10,10,1000,124086,sub10,pub6,20,875,85,980
1,1,10,10,1000,124086,sub6,pub6,20,1307,86,1413
1,1,10,10,1000,124086,sub8,pub6,20,1517,83,1620
1,1,10,10,1000,124086,sub9,pub6,20,1638,86,1744
1,1,10,10,1000,124086,sub5,pub6,20,1778,87,1885
1,1,10,10,1000,124086,sub3,pub6,20,2177,83,2280
1,1,10,10,1000,124086,sub2,pub6,20,2310,86,2416
1,1,10,10,1000,124086,sub5,pub7,15,491,84,590
1,1,10,10,1000,124086,sub10,pub7,15,1032,464,1511
1,1,10,10,1000,124086,sub4,pub7,15,1350,609,1974
1,1,10,10,1000,124086,sub6,pub7,15,1401,775,2191
1,1,10,10,1000,124086,sub1,pub7,15,1403,1117,2535
1,1,10,10,1000,124086,sub9,pub7,15,1573,1553,3141
1,1,10,10,1000,124086,sub8,pub7,15,1992,1196,3203
1,1,10,10,1000,124086,sub7,pub7,15,2306,956,3277
1,1,10,10,1000,124086,sub3,pub7,15,2351,995,3361
1,1,10,10,1000,124086,sub2,pub7,15,2385,1044,3444
1,1,10,10,1000,124086,sub9,pub8,18,562,88,668
1,1,10,10,1000,124086,sub7,pub8,18,778,97,893
1,1,10,10,1000,124086,sub5,pub8,18,783,176,977
1,1,10,10,1000,124086,sub6,pub8,18,1060,101,1179
1,1,10,10,1000,124086,sub8,pub8,18,1164,85,1267
1,1,10,10,1000,124086,sub10,pub8,18,1487,96,1601
1,1,10,10,1000,124086,sub1,pub8,18,1588,91,1697
1,1,10,10,1000,124086,sub2,pub8,18,1795,99,1912
1,1,10,10,1000,124086,sub3,pub8,18,1836,137,1991
1,1,10,10,1000,124086,sub4,pub8,18,1884,174,2076
1,1,10,10,1000,124086,sub3,pub9,12,595,87,694
1,1,10,10,1000,124086,sub9,pub9,12,701,87,800
1,1,10,10,1000,124086,sub4,pub9,12,1067,87,1166
1,1,10,10,1000,124086,sub2,pub9,12,1214,87,1313
1,1,10,10,1000,124086,sub5,pub9,12,1439,93,1544
1,1,10,10,1000,124086,sub7,pub9,12,1656,106,1774
1,1,10,10,1000,124086,sub8,pub9,12,1711,137,1860
1,1,10,10,1000,124086,sub1,pub9,12,1768,159,1939
1,1,10,10,1000,124086,sub10,pub9,12,2094,86,2192
1,1,10,10,1000,124086,sub6,pub9,12,2241,84,2337
1,1,10,10,1000,124087,sub10,pub10,12,561,92,665
1,1,10,10,1000,124087,sub7,pub10,12,706,94,812
1,1,10,10,1000,124087,sub5,pub10,12,812,85,909
1,1,10,10,1000,124087,sub2,pub10,12,1161,84,1257
1,1,10,10,1000,124087,sub1,pub10,12,1582,93,1687
1,1,10,10,1000,124087,sub8,pub10,12,1686,87,1785
1,1,10,10,1000,124087,sub6,pub10,12,1819,86,1917
1,1,10,10,1000,124087,sub4,pub10,12,2043,87,2142
1,1,10,10,1000,124087,sub9,pub10,12,2243,88,2343
1,1,10,10,1000,124087,sub3,pub10,12,2293,118,2423
