nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
30,1,1,1,100,12587,sub1,pub1,1319482414268,1319482414453,17,185,57,259
30,2,1,1,100,12587,sub1,pub1,1319482567658,1319482567908,19,250,42,311
30,3,1,1,100,12587,sub1,pub1,1319482673732,1319482673861,23,129,44,196
30,4,1,1,100,12587,sub1,pub1,1319482780084,1319482780215,15,131,44,190
30,5,1,1,100,12587,sub1,pub1,1319482886443,1319482886571,23,128,43,194
30,6,1,1,100,12587,sub1,pub1,1319482993425,1319482993549,23,124,42,189
30,7,1,1,100,12587,sub1,pub1,1319483099973,1319483100130,23,157,44,224
30,8,1,1,100,12587,sub1,pub1,1319483206024,1319483206148,15,124,43,182
30,9,1,1,100,12587,sub1,pub1,1319483312408,1319483312531,23,123,44,190
30,10,1,1,100,12588,sub1,pub1,1319483418548,1319483418676,23,128,43,194
30,11,1,1,100,12588,sub1,pub1,1319483524648,1319483524774,15,126,44,185
30,12,1,1,100,12588,sub1,pub1,1319483631273,1319483631408,22,135,42,199
30,13,1,1,100,12588,sub1,pub1,1319483737786,1319483737910,21,124,44,189
30,14,1,1,100,12588,sub1,pub1,1319483843658,1319483843782,23,124,44,191
30,15,1,1,100,12588,sub1,pub1,1319483949729,1319483949853,23,124,42,189
30,16,1,1,100,12588,sub1,pub1,1319484055461,1319484055590,26,129,44,199
30,17,1,1,100,12588,sub1,pub1,1319484161379,1319484161522,14,143,44,201
30,18,1,1,100,12588,sub1,pub1,1319484267332,1319484267476,23,144,43,210
30,19,1,1,100,12588,sub1,pub1,1319484373271,1319484373399,20,128,44,192
30,20,1,1,100,12588,sub1,pub1,1319484479696,1319484479832,23,136,43,202
30,21,1,1,100,12588,sub1,pub1,1319484585496,1319484585628,14,132,43,189
30,22,1,1,100,12588,sub1,pub1,1319484691088,1319484691215,23,127,44,194
30,23,1,1,100,12588,sub1,pub1,1319484797139,1319484797264,14,125,42,181
30,24,1,1,100,12588,sub1,pub1,1319484903419,1319484903548,20,129,43,192
30,25,1,1,100,12588,sub1,pub1,1319485009563,1319485009748,15,185,42,242
30,26,1,1,100,12588,sub1,pub1,1319485118661,1319485118797,23,136,42,201
30,27,1,1,100,12588,sub1,pub1,1319485225576,1319485225694,14,118,44,176
30,28,1,1,100,12588,sub1,pub1,1319485343519,1319485343663,21,144,44,209
30,29,1,1,100,12588,sub1,pub1,1319485464256,1319485464377,23,121,41,185
30,30,1,1,100,12588,sub1,pub1,1319485598391,1319485598508,15,117,43,175
