95,82102482
45,82694945
78,85568909
70,85753569
4,86880807
28,87205360
31,87212763
8,80687146
92,80146783
61,76690335
53,78743669
33,88665602
16,90831381
94,91212296
82,91232829
72,92204602
75,92466437
30,94770014
22,94773506
51,96817968
10,96889137
66,96667670
14,99332464
20,99841607
85,100982395
71,679312782
24,679566026
81,681195774
42,681835870
36,683467502
15,684031680
74,685796428
63,688000201
47,688001388
34,688986919
84,690594945
25,691680978
39,691394279
67,693111467
38,693935036
5,694753156
65,696879192
73,698222029
86,699895287
54,700523160
96,700702373
87,701536208
99,702753543
29,703015309
52,703677614
77,705794644
68,705824187
62,718121067
46,721512212
26,721614111
1,722237655
79,722612284
57,722267896
40,737030879
23,758192158
58,758257600
6,757944500
13,758090260
27,759578997
48,760133607
55,761558021
18,762563316
50,763831701
90,764386310
93,765443776
32,767127998
19,767243725
59,768239732
69,768609542
97,770189982
3,771397608
41,772059565
60,772612080
43,773989002
35,774621554
83,776022499
7,777339146
21,778482517
56,779103755
49,781010562
100,783179554
80,781323870
12,781563635
2,912567793
9,913199159
64,914876259
44,914893300
76,917124381
88,920099409
98,920610926
89,922450195
11,922562500
91,923253859
37,926183284
17,926776445
