nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,1,1,1000,124084,sub10,pub1,39,2012,110,2161
1,1,1,1,1000,124084,sub9,pub1,39,1991,203,2233
1,1,1,1,1000,124084,sub2,pub1,39,2160,172,2371
1,1,1,1,1000,124084,sub4,pub1,39,2133,248,2420
1,1,1,1,1000,124084,sub3,pub1,39,2257,346,2642
1,1,1,1,1000,124084,sub8,pub1,39,2316,344,2699
1,1,1,1,1000,124084,sub6,pub1,39,2333,423,2795
1,1,1,1,1000,124084,sub1,pub1,39,2524,371,2934
1,1,1,1,1000,124084,sub7,pub1,39,2518,447,3004
1,1,1,1,1000,124084,sub5,pub1,39,4183,480,4702
