nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,tPubStore,tPushMsg,tSubStore,tTotal
1,1,500,1,1000,124086,sub198,pub1,29,2743,88,2860
1,1,500,1,1000,124086,sub420,pub1,29,8003,93,8125
1,1,500,1,1000,124086,sub107,pub1,29,14763,86,14878
1,1,500,1,1000,124086,sub251,pub1,29,16405,91,16525
1,1,500,1,1000,124086,sub437,pub1,29,17658,93,17780
1,1,500,1,1000,124086,sub301,pub1,29,19814,91,19934
1,1,500,1,1000,124086,sub378,pub1,29,21267,88,21384
1,1,500,1,1000,124086,sub180,pub1,29,21890,121,22040
1,1,500,1,1000,124086,sub26,pub1,29,25272,119,25420
1,1,500,1,1000,124086,sub263,pub1,29,25299,175,25503
1,1,500,1,1000,124086,sub376,pub1,29,27801,156,27986
1,1,500,1,1000,124086,sub430,pub1,29,27840,167,28036
1,1,500,1,1000,124086,sub458,pub1,29,27835,252,28116
1,1,500,1,1000,124086,sub348,pub1,29,27788,328,28145
1,1,500,1,1000,124086,sub28,pub1,29,27857,400,28286
1,1,500,1,1000,124086,sub181,pub1,29,28259,242,28530
1,1,500,1,1000,124086,sub131,pub1,29,28511,91,28631
1,1,500,1,1000,124086,sub245,pub1,29,28903,93,29025
1,1,500,1,1000,124086,sub23,pub1,29,29156,94,29279
1,1,500,1,1000,124086,sub66,pub1,29,29259,90,29378
1,1,500,1,1000,124086,sub170,pub1,29,29341,93,29463
1,1,500,1,1000,124086,sub120,pub1,29,29492,88,29609
1,1,500,1,1000,124086,sub467,pub1,29,29845,86,29960
1,1,500,1,1000,124086,sub99,pub1,29,30352,115,30496
1,1,500,1,1000,124086,sub192,pub1,29,30957,87,31073
1,1,500,1,1000,124086,sub448,pub1,29,31282,90,31401
1,1,500,1,1000,124086,sub405,pub1,29,31824,91,31944
1,1,500,1,1000,124086,sub402,pub1,29,32322,86,32437
1,1,500,1,1000,124086,sub122,pub1,29,32737,90,32856
1,1,500,1,1000,124086,sub479,pub1,29,32885,91,33005
1,1,500,1,1000,124086,sub386,pub1,29,33172,95,33296
1,1,500,1,1000,124086,sub241,pub1,29,33200,148,33377
1,1,500,1,1000,124086,sub35,pub1,29,33288,139,33456
1,1,500,1,1000,124086,sub272,pub1,29,33407,109,33545
1,1,500,1,1000,124086,sub58,pub1,29,33915,117,34061
1,1,500,1,1000,124086,sub183,pub1,29,33970,90,34089
1,1,500,1,1000,124086,sub185,pub1,29,34122,93,34244
1,1,500,1,1000,124086,sub86,pub1,29,34443,87,34559
1,1,500,1,1000,124086,sub199,pub1,29,35088,89,35206
1,1,500,1,1000,124086,sub187,pub1,29,35613,109,35751
1,1,500,1,1000,124086,sub223,pub1,29,35635,158,35822
1,1,500,1,1000,124086,sub265,pub1,29,35686,203,35918
1,1,500,1,1000,124086,sub417,pub1,29,35989,83,36101
1,1,500,1,1000,124086,sub22,pub1,29,36166,101,36296
1,1,500,1,1000,124086,sub476,pub1,29,36191,159,36379
1,1,500,1,1000,124086,sub293,pub1,29,36245,189,36463
1,1,500,1,1000,124086,sub27,pub1,29,36597,94,36720
1,1,500,1,1000,124086,sub177,pub1,29,37122,109,37260
1,1,500,1,1000,124086,sub151,pub1,29,37380,93,37502
1,1,500,1,1000,124086,sub500,pub1,29,37809,91,37929
1,1,500,1,1000,124086,sub363,pub1,29,38345,91,38465
1,1,500,1,1000,124086,sub218,pub1,29,38446,90,38565
1,1,500,1,1000,124086,sub346,pub1,29,38532,94,38655
1,1,500,1,1000,124086,sub394,pub1,29,38734,93,38856
1,1,500,1,1000,124086,sub435,pub1,29,38903,157,39089
1,1,500,1,1000,124086,sub57,pub1,29,38938,113,39080
1,1,500,1,1000,124086,sub105,pub1,29,39082,171,39282
1,1,500,1,1000,124086,sub97,pub1,29,39184,175,39388
1,1,500,1,1000,124086,sub404,pub1,29,39364,88,39481
1,1,500,1,1000,124086,sub123,pub1,29,39785,91,39905
1,1,500,1,1000,124086,sub312,pub1,29,39816,141,39986
1,1,500,1,1000,124086,sub431,pub1,29,40319,88,40436
1,1,500,1,1000,124086,sub472,pub1,29,40541,89,40659
1,1,500,1,1000,124086,sub321,pub1,29,40615,109,40753
1,1,500,1,1000,124086,sub24,pub1,29,40747,125,40901
1,1,500,1,1000,124086,sub14,pub1,29,40851,103,40983
1,1,500,1,1000,124086,sub306,pub1,29,41166,158,41353
1,1,500,1,1000,124086,sub132,pub1,29,41187,98,41314
1,1,500,1,1000,124086,sub285,pub1,29,41460,92,41581
1,1,500,1,1000,124086,sub391,pub1,29,41550,88,41667
1,1,500,1,1000,124086,sub43,pub1,29,41600,117,41746
1,1,500,1,1000,124086,sub77,pub1,29,41752,92,41873
1,1,500,1,1000,124086,sub256,pub1,29,41751,174,41954
1,1,500,1,1000,124086,sub201,pub1,29,42023,88,42140
1,1,500,1,1000,124086,sub463,pub1,29,42241,91,42361
1,1,500,1,1000,124086,sub439,pub1,29,42326,93,42448
1,1,500,1,1000,124086,sub294,pub1,29,42440,113,42582
1,1,500,1,1000,124086,sub215,pub1,29,42652,101,42782
1,1,500,1,1000,124086,sub137,pub1,29,42673,230,42932
1,1,500,1,1000,124086,sub164,pub1,29,42775,95,42899
1,1,500,1,1000,124086,sub258,pub1,29,43020,106,43155
1,1,500,1,1000,124086,sub230,pub1,29,43064,155,43248
1,1,500,1,1000,124086,sub335,pub1,29,43136,159,43324
1,1,500,1,1000,124086,sub342,pub1,29,43197,316,43542
1,1,500,1,1000,124086,sub25,pub1,29,43271,268,43568
1,1,500,1,1000,124086,sub441,pub1,29,43380,120,43529
1,1,500,1,1000,124086,sub357,pub1,29,43527,196,43752
1,1,500,1,1000,124086,sub398,pub1,29,43533,263,43825
1,1,500,1,1000,124086,sub92,pub1,29,43596,381,44006
1,1,500,1,1000,124086,sub207,pub1,29,43663,403,44095
1,1,500,1,1000,124086,sub369,pub1,29,43681,490,44200
1,1,500,1,1000,124086,sub471,pub1,29,44137,1530,45696
1,1,500,1,1000,124086,sub395,pub1,29,44144,1536,45709
1,1,500,1,1000,124086,sub178,pub1,29,43819,1711,45559
1,1,500,1,1000,124086,sub494,pub1,29,43997,1696,45722
1,1,500,1,1000,124086,sub234,pub1,29,43991,1706,45726
1,1,500,1,1000,124086,sub96,pub1,29,44006,1710,45745
1,1,500,1,1000,124086,sub195,pub1,29,45653,647,46329
1,1,500,1,1000,124086,sub67,pub1,29,44163,2386,46578
1,1,500,1,1000,124086,sub429,pub1,29,45659,993,46681
1,1,500,1,1000,124086,sub446,pub1,29,44199,642,44870
1,1,500,1,1000,124086,sub98,pub1,29,45714,573,46316
1,1,500,1,1000,124086,sub220,pub1,29,45725,658,46412
1,1,500,1,1000,124086,sub333,pub1,29,45682,715,46426
1,1,500,1,1000,124086,sub468,pub1,29,46094,846,46969
1,1,500,1,1000,124086,sub411,pub1,29,46088,909,47026
1,1,500,1,1000,124086,sub93,pub1,29,45706,989,46724
1,1,500,1,1000,124086,sub390,pub1,29,45701,1070,46800
1,1,500,1,1000,124086,sub227,pub1,29,45736,1136,46901
1,1,500,1,1000,124086,sub478,pub1,29,45744,1216,46989
1,1,500,1,1000,124086,sub496,pub1,29,45699,1295,47023
