nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
30,1,1,1,10,1430,sub1,pub1,1319482404111,1319482404269,17,158,42,217
30,2,1,1,10,1430,sub1,pub1,1319482557507,1319482557564,17,57,37,111
30,3,1,1,10,1430,sub1,pub1,1319482663579,1319482663630,23,51,40,114
30,4,1,1,10,1430,sub1,pub1,1319482769941,1319482769991,20,50,40,110
30,5,1,1,10,1430,sub1,pub1,1319482876289,1319482876345,21,56,42,119
30,6,1,1,10,1430,sub1,pub1,1319482983273,1319482983326,22,53,40,115
30,7,1,1,10,1430,sub1,pub1,1319483089822,1319483089873,21,51,40,112
30,8,1,1,10,1430,sub1,pub1,1319483195883,1319483195928,15,45,38,98
30,9,1,1,10,1430,sub1,pub1,1319483302256,1319483302304,23,48,38,109
30,10,1,1,10,1431,sub1,pub1,1319483408396,1319483408447,23,51,39,113
30,11,1,1,10,1431,sub1,pub1,1319483514506,1319483514556,16,50,39,105
30,12,1,1,10,1431,sub1,pub1,1319483621096,1319483621176,23,80,38,141
30,13,1,1,10,1431,sub1,pub1,1319483727637,1319483727689,16,52,41,109
30,14,1,1,10,1431,sub1,pub1,1319483833508,1319483833555,26,47,38,111
30,15,1,1,10,1431,sub1,pub1,1319483939580,1319483939629,17,49,42,108
30,16,1,1,10,1431,sub1,pub1,1319484045307,1319484045360,23,53,37,113
30,17,1,1,10,1431,sub1,pub1,1319484151239,1319484151286,15,47,40,102
30,18,1,1,10,1431,sub1,pub1,1319484257183,1319484257232,19,49,38,106
30,19,1,1,10,1431,sub1,pub1,1319484363123,1319484363178,29,55,41,125
30,20,1,1,10,1431,sub1,pub1,1319484469546,1319484469594,19,48,41,108
30,21,1,1,10,1431,sub1,pub1,1319484575355,1319484575401,14,46,38,98
30,22,1,1,10,1431,sub1,pub1,1319484680937,1319484680981,11,44,41,96
30,23,1,1,10,1431,sub1,pub1,1319484786998,1319484787046,16,48,39,103
30,24,1,1,10,1431,sub1,pub1,1319484893272,1319484893321,23,49,42,114
30,25,1,1,10,1431,sub1,pub1,1319484999422,1319484999468,15,46,38,99
30,26,1,1,10,1431,sub1,pub1,1319485108511,1319485108560,19,49,39,107
30,27,1,1,10,1431,sub1,pub1,1319485215435,1319485215481,15,46,41,102
30,28,1,1,10,1431,sub1,pub1,1319485333191,1319485333558,16,367,40,423
30,29,1,1,10,1431,sub1,pub1,1319485454079,1319485454248,15,169,38,222
30,30,1,1,10,1431,sub1,pub1,1319485588250,1319485588686,16,436,41,493
