nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
10,1,10,1,1000,124086,sub6,pub1,1319476620539,1319476621106,26,567,96,689
10,1,10,1,1000,124086,sub3,pub1,1319476620539,1319476621226,26,687,84,797
10,1,10,1,1000,124086,sub7,pub1,1319476620539,1319476621682,26,1143,91,1260
10,1,10,1,1000,124086,sub5,pub1,1319476620539,1319476621782,26,1243,88,1357
10,1,10,1,1000,124086,sub1,pub1,1319476620539,1319476622078,26,1539,88,1653
10,1,10,1,1000,124086,sub8,pub1,1319476620539,1319476622214,26,1675,83,1784
10,1,10,1,1000,124086,sub9,pub1,1319476620539,1319476622647,26,2108,89,2223
10,1,10,1,1000,124086,sub10,pub1,1319476620539,1319476622717,26,2178,118,2322
10,1,10,1,1000,124086,sub4,pub1,1319476620539,1319476622884,26,2345,85,2456
10,1,10,1,1000,124086,sub2,pub1,1319476620539,1319476623127,26,2588,84,2698
10,2,10,1,1000,124086,sub6,pub1,1319476778934,1319476779351,18,417,89,524
10,2,10,1,1000,124086,sub3,pub1,1319476778934,1319476779461,18,527,87,632
10,2,10,1,1000,124086,sub7,pub1,1319476778934,1319476779873,18,939,86,1043
10,2,10,1,1000,124086,sub5,pub1,1319476778934,1319476779935,18,1001,106,1125
10,2,10,1,1000,124086,sub1,pub1,1319476778934,1319476780169,18,1235,100,1353
10,2,10,1,1000,124086,sub8,pub1,1319476778934,1319476780219,18,1285,130,1433
10,2,10,1,1000,124086,sub9,pub1,1319476778934,1319476780375,18,1441,88,1547
10,2,10,1,1000,124086,sub10,pub1,1319476778934,1319476780450,18,1516,111,1645
10,2,10,1,1000,124086,sub4,pub1,1319476778934,1319476780609,18,1675,89,1782
10,2,10,1,1000,124086,sub2,pub1,1319476778934,1319476780776,18,1842,84,1944
10,3,10,1,1000,124086,sub6,pub1,1319476889788,1319476890211,15,423,88,526
10,3,10,1,1000,124086,sub3,pub1,1319476889788,1319476890325,15,537,83,635
10,3,10,1,1000,124086,sub7,pub1,1319476889788,1319476890720,15,932,90,1037
10,3,10,1,1000,124086,sub5,pub1,1319476889788,1319476890793,15,1005,100,1120
10,3,10,1,1000,124086,sub1,pub1,1319476889788,1319476890961,15,1173,90,1278
10,3,10,1,1000,124086,sub8,pub1,1319476889788,1319476891057,15,1269,91,1375
10,3,10,1,1000,124086,sub9,pub1,1319476889788,1319476891240,15,1452,84,1551
10,3,10,1,1000,124086,sub10,pub1,1319476889788,1319476891301,15,1513,107,1635
10,3,10,1,1000,124086,sub4,pub1,1319476889788,1319476891445,15,1657,88,1760
10,3,10,1,1000,124086,sub2,pub1,1319476889788,1319476891596,15,1808,84,1907
10,4,10,1,1000,124086,sub6,pub1,1319477001006,1319477001425,13,419,88,520
10,4,10,1,1000,124086,sub3,pub1,1319477001006,1319477001546,13,540,87,640
10,4,10,1,1000,124086,sub7,pub1,1319477001006,1319477001955,13,949,95,1057
10,4,10,1,1000,124086,sub5,pub1,1319477001006,1319477002046,13,1040,87,1140
10,4,10,1,1000,124086,sub1,pub1,1319477001006,1319477002206,13,1200,89,1302
10,4,10,1,1000,124086,sub8,pub1,1319477001006,1319477002307,13,1301,88,1402
10,4,10,1,1000,124086,sub9,pub1,1319477001006,1319477002476,13,1470,87,1570
10,4,10,1,1000,124086,sub10,pub1,1319477001006,1319477002532,13,1526,116,1655
10,4,10,1,1000,124086,sub4,pub1,1319477001006,1319477002681,13,1675,88,1776
10,4,10,1,1000,124086,sub2,pub1,1319477001006,1319477002842,13,1836,87,1936
10,5,10,1,1000,124086,sub6,pub1,1319477111297,1319477111723,13,426,87,526
10,5,10,1,1000,124086,sub3,pub1,1319477111297,1319477111835,13,538,86,637
10,5,10,1,1000,124086,sub7,pub1,1319477111297,1319477112222,13,925,91,1029
10,5,10,1,1000,124086,sub5,pub1,1319477111297,1319477112321,13,1024,88,1125
10,5,10,1,1000,124086,sub1,pub1,1319477111297,1319477112492,13,1195,89,1297
10,5,10,1,1000,124086,sub8,pub1,1319477111297,1319477112600,13,1303,89,1405
10,5,10,1,1000,124086,sub9,pub1,1319477111297,1319477112776,13,1479,84,1576
10,5,10,1,1000,124086,sub10,pub1,1319477111297,1319477112826,13,1529,108,1650
