nTests,nTest,nSubs,nPubs,nTriples,sizeMsg,subName,pubName,sTimestamp,eTimestamp,tPubStore,tPushMsg,tSubStore,tTotal
10,1,10,1,1,314,sub6,pub1,1319476588971,1319476589290,30,319,46,395
10,1,10,1,1,314,sub3,pub1,1319476588971,1319476589383,30,412,40,482
10,1,10,1,1,314,sub7,pub1,1319476588971,1319476589725,30,754,40,824
10,1,10,1,1,314,sub5,pub1,1319476588971,1319476589765,30,794,39,863
10,1,10,1,1,314,sub1,pub1,1319476588971,1319476589973,30,1002,40,1072
10,1,10,1,1,314,sub8,pub1,1319476588971,1319476590023,30,1052,38,1120
10,1,10,1,1,314,sub9,pub1,1319476588971,1319476590165,30,1194,40,1264
10,1,10,1,1,314,sub10,pub1,1319476588971,1319476590187,30,1216,58,1304
10,1,10,1,1,314,sub4,pub1,1319476588971,1319476590402,30,1431,39,1500
10,1,10,1,1,314,sub2,pub1,1319476588971,1319476590583,30,1612,39,1681
10,2,10,1,1,314,sub6,pub1,1319476747385,1319476747405,14,20,38,72
10,2,10,1,1,314,sub3,pub1,1319476747385,1319476747410,14,25,72,111
10,2,10,1,1,314,sub7,pub1,1319476747385,1319476747430,14,45,92,151
10,2,10,1,1,314,sub5,pub1,1319476747385,1319476747430,14,45,132,191
10,2,10,1,1,314,sub1,pub1,1319476747385,1319476747441,14,56,161,231
10,2,10,1,1,314,sub8,pub1,1319476747385,1319476747445,14,60,197,271
10,2,10,1,1,314,sub9,pub1,1319476747385,1319476747452,14,67,230,311
10,2,10,1,1,314,sub10,pub1,1319476747385,1319476747453,14,68,269,351
10,2,10,1,1,314,sub4,pub1,1319476747385,1319476747465,14,80,297,391
10,2,10,1,1,314,sub2,pub1,1319476747385,1319476747473,14,88,329,431
10,3,10,1,1,314,sub6,pub1,1319476858251,1319476858266,15,15,41,71
10,3,10,1,1,314,sub3,pub1,1319476858251,1319476858275,15,24,71,110
10,3,10,1,1,314,sub7,pub1,1319476858251,1319476858294,15,43,93,151
10,3,10,1,1,314,sub5,pub1,1319476858251,1319476858296,15,45,130,190
10,3,10,1,1,314,sub1,pub1,1319476858251,1319476858307,15,56,159,230
10,3,10,1,1,314,sub8,pub1,1319476858251,1319476858310,15,59,196,270
10,3,10,1,1,314,sub9,pub1,1319476858251,1319476858317,15,66,229,310
10,3,10,1,1,314,sub10,pub1,1319476858251,1319476858319,15,68,267,350
10,3,10,1,1,314,sub4,pub1,1319476858251,1319476858331,15,80,295,390
10,3,10,1,1,314,sub2,pub1,1319476858251,1319476858339,15,88,327,430
10,4,10,1,1,314,sub6,pub1,1319476969454,1319476969480,16,26,40,82
10,4,10,1,1,314,sub3,pub1,1319476969454,1319476969484,16,30,74,120
10,4,10,1,1,314,sub7,pub1,1319476969454,1319476969505,16,51,93,160
10,4,10,1,1,314,sub5,pub1,1319476969454,1319476969505,16,51,133,200
10,4,10,1,1,314,sub1,pub1,1319476969454,1319476969516,16,62,162,240
